titulo,url,precio,precio_usd,precio_usd_blue,fecha
LA MUJER QUE SOY,https://cuspide.com/producto/la-mujer-que-soy/,8999.0,24.62,9.73,2023-11-05
ARTIFICIAL,https://cuspide.com/producto/artificial-2/,9999.0,27.36,9.73,2023-11-05
ESTE DOLOR NO ES MIO,https://cuspide.com/producto/este-dolor-no-es-mio/,11500.0,31.46,9.73,2023-11-05
LA CASA NEVILLE  LA FORMIDABLE SEÑORITA  MANON,https://cuspide.com/producto/la-casa-neville-la-formidable-senorita-manon/,13700.0,37.48,9.73,2023-11-05
OXIDO,https://cuspide.com/producto/oxido/,14999.0,41.04,9.73,2023-11-05
HABITOS ATOMICOS,https://cuspide.com/producto/habitos-atomicos-2/,16000.0,43.78,9.73,2023-11-05
EL PROBLEMA FINAL,https://cuspide.com/producto/el-problema-final/,13999.0,38.30,9.73,2023-11-05
LO MEJOR Y LO PEOR DE INTERNET,https://cuspide.com/producto/lo-mejor-y-lo-peor-de-internet/,9999.0,27.36,9.73,2023-11-05
HOROSCOPO CHINO 2024,https://cuspide.com/producto/horoscopo-chino-2024/,7999.0,21.89,9.73,2023-11-05
TESIS SOBRE UNA DOMESTICACION,https://cuspide.com/producto/tesis-sobre-una-domesticacion/,11800.0,32.28,9.73,2023-11-05
LE DEDICO MI SILENCIO,https://cuspide.com/producto/le-dedico-mi-silencio/,14999.0,41.04,9.73,2023-11-05
UNA FAMILIA ANORMAL,https://cuspide.com/producto/una-familia-anormal-5/,5799.0,15.87,9.73,2023-11-05
TAYLOR : FROM THE VAULT,https://cuspide.com/producto/taylor-from-the-vault/,8299.0,22.71,9.73,2023-11-05
EL PODER DE LAS PALABRAS,https://cuspide.com/producto/el-poder-de-las-palabras/,13899.0,38.03,9.73,2023-11-05
ESCRIBIR UN SILENCIO,https://cuspide.com/producto/escribir-un-silencio/,12999.0,35.56,9.73,2023-11-05
EL VIENTO CONOCE MI NOMBRE,https://cuspide.com/producto/el-viento-conoce-mi-nombre/,13999.0,38.30,9.73,2023-11-05
DESTROZA ESTE DIARIO ( A TODO COLOR ),https://cuspide.com/producto/destroza-este-diario-a-todo-color/,12900.0,35.29,9.73,2023-11-05
LAS LUCES DE FEBRERO,https://cuspide.com/producto/las-luces-de-febrero/,14999.0,41.04,9.73,2023-11-05
LOS CUATRO ACUERDOS,https://cuspide.com/producto/los-cuatro-acuerdos/,10690.0,29.25,9.73,2023-11-05
PSICODROMO,https://cuspide.com/producto/psicodromo/,7499.0,20.52,9.73,2023-11-05
HOLLY,https://cuspide.com/producto/holly/,18999.0,51.98,9.73,2023-11-05
LA NUEVA VEJEZ,https://cuspide.com/producto/la-nueva-vejez/,9999.0,27.36,9.73,2023-11-05
LA PACIENTE SILENCIOSA,https://cuspide.com/producto/la-paciente-silenciosa/,12999.0,35.56,9.73,2023-11-05
LA ARMADURA DE LA LUZ,https://cuspide.com/producto/la-armadura-de-la-luz/,24999.0,68.40,9.73,2023-11-05
"SI LO CREES , LO CREAS",https://cuspide.com/producto/si-lo-crees-lo-creas/,6999.0,19.15,9.73,2023-11-05
DEJA DE SER TU,https://cuspide.com/producto/deja-de-ser-tu/,16890.0,46.21,9.73,2023-11-05
LOS OJOS DE PLATA - LA NOVELA GRAFICA,https://cuspide.com/producto/los-ojos-de-plata-la-novela-grafica/,12999.0,35.56,9.73,2023-11-05
UN VECINO ANORMAL  : Y EL LADRON DEL CHOCOLATE,https://cuspide.com/producto/un-vecino-anormal-y-el-ladron-del-chocolate/,6399.0,17.51,9.73,2023-11-05
DIBU MARTINEZ : PASION POR EL FUTBOL,https://cuspide.com/producto/dibu-martinez-pasion-por-el-futbol/,6699.0,18.33,9.73,2023-11-05
EL HOMBRE EN BUSCA DE SENTIDO,https://cuspide.com/producto/el-hombre-en-busca-de-sentido/,7590.0,20.77,9.73,2023-11-05
NUESTRA PARTE DE NOCHE,https://cuspide.com/producto/nuestra-parte-de-noche/,18600.0,50.89,9.73,2023-11-05
EL LOCO,https://cuspide.com/producto/el-loco/,9900.0,27.09,9.73,2023-11-05
PORQUE DEMASIADO NO ES SUFICIENTE,https://cuspide.com/producto/porque-demasiado-no-es-suficiente/,9990.0,27.33,9.73,2023-11-05
ENCUENTRA TU PERSONA VITAMINA,https://cuspide.com/producto/encuentra-tu-persona-vitamina/,14000.0,38.30,9.73,2023-11-05
LAS NI/AS DEL NARANJEL,https://cuspide.com/producto/las-ni-as-del-naranjel/,10999.0,30.09,9.73,2023-11-05
MI DESEO ES ODIARTE,https://cuspide.com/producto/mi-deseo-es-odiarte/,9650.0,26.40,9.73,2023-11-05
BEYOND THE STORY ( EDICION EN ESPA/OL ),https://cuspide.com/producto/beyond-the-story-edicion-en-espa-ol/,14999.0,41.04,9.73,2023-11-05
DESARMA ESTE LIBRO,https://cuspide.com/producto/desarma-este-libro/,4399.0,12.04,9.73,2023-11-05
BALADA DE PAJAROS CANTORES Y SERPIENTES,https://cuspide.com/producto/balada-de-pajaros-cantores-y-serpientes/,17599.0,48.15,9.73,2023-11-05
LOS OJOS PLATA  FIVE NIGHTS AT FREDDY'S,https://cuspide.com/producto/los-ojos-plata-five-nights-at-freddys/,12799.0,35.02,9.73,2023-11-05
EL VUELO DE LA LIBELULA,https://cuspide.com/producto/el-vuelo-de-la-libelula/,12999.0,35.56,9.73,2023-11-05
MESSIRVE,https://cuspide.com/producto/messirve/,6999.0,19.15,9.73,2023-11-05
EL PODER DEL AHORA,https://cuspide.com/producto/el-poder-del-ahora/,9499.0,25.99,9.73,2023-11-05
73 MARGARITAS,https://cuspide.com/producto/73-margaritas/,8999.0,24.62,9.73,2023-11-05
QUE SABES DE LOS CAMPEONES DEL MUNDO ?,https://cuspide.com/producto/que-sabes-de-los-campeones-del-mundo/,2599.0,7.11,9.73,2023-11-05
GATURRO DE ORO 3,https://cuspide.com/producto/gaturro-de-oro-3/,5999.0,16.41,9.73,2023-11-05
LA CASA DE LOS SUICIDIOS,https://cuspide.com/producto/la-casa-de-los-suicidios/,11900.0,32.56,9.73,2023-11-05
MIS DIAS EN LA LIBRERIA MORISAKI,https://cuspide.com/producto/mis-dias-en-la-libreria-morisaki/,7390.0,20.22,9.73,2023-11-05
CONOCER A PERON,https://cuspide.com/producto/conocer-a-peron/,15200.0,41.59,9.73,2023-11-05
COMETIERRA 10 EDIC,https://cuspide.com/producto/cometierra-10-edic/,8300.0,22.71,9.73,2023-11-05
PATO HORNEADO Y EL RESCATE EN LA JUNGLA,https://cuspide.com/producto/pato-horneado-y-el-rescate-en-la-jungla/,9600.0,26.27,9.73,2023-11-05
CRONICAS MUNDIALES LAS MEJORES ANECDOTAS DE LA COPA DEL MUNDO (2023),https://cuspide.com/producto/cronicas-mundiales-las-mejores-anecdotas-de-la-copa-del-mundo-2023/,4999.0,13.68,9.73,2023-11-05
PALABRAS SEMILLA,https://cuspide.com/producto/palabras-semilla/,4750.0,13.00,9.73,2023-11-05
"MUCHAS VIDAS , MUCHOS MAESTROS",https://cuspide.com/producto/muchas-vidas-muchos-maestros-2/,9499.0,25.99,9.73,2023-11-05
EL PRINCIPITO,https://cuspide.com/producto/el-principito-9/,3999.0,10.94,9.73,2023-11-05
LAS INDIGNAS,https://cuspide.com/producto/las-indignas/,8399.0,22.98,9.73,2023-11-05
"PADRE RICO , PADRE POBRE ( 25 AÑOS )",https://cuspide.com/producto/padre-rico-padre-pobre-25-anos/,14899.0,40.76,9.73,2023-11-05
LA REVOLUCION DE LA GLUCOSA,https://cuspide.com/producto/la-revolucion-de-la-glucosa/,16000.0,43.78,9.73,2023-11-05
LOS CHICOS DE BILOXI,https://cuspide.com/producto/los-chicos-de-biloxi/,17599.0,48.15,9.73,2023-11-05
NOSOTROS DOS EN LA TORMENTA,https://cuspide.com/producto/nosotros-dos-en-la-tormenta/,15999.0,43.77,9.73,2023-11-05
SANA A TUS ANTEPASADOS PARA SANAR TU VIDA,https://cuspide.com/producto/sana-a-tus-antepasados-para-sanar-tu-vida/,8150.0,22.30,9.73,2023-11-05
ADIOS CACHORRA,https://cuspide.com/producto/adios-cachorra/,10400.0,28.45,9.73,2023-11-05
LOS SIETE MARIDOS DE EVELYN HUGO,https://cuspide.com/producto/los-siete-maridos-de-evelyn-hugo/,13550.0,37.07,9.73,2023-11-05
LOS GUEMES,https://cuspide.com/producto/los-guemes/,13900.0,38.03,9.73,2023-11-05
MEDITACIONES,https://cuspide.com/producto/meditaciones-2/,9860.0,26.98,9.73,2023-11-05
EL MONJE QUE VENDIO SU FERRARI,https://cuspide.com/producto/el-monje-que-vendio-su-ferrari/,13899.0,38.03,9.73,2023-11-05
LA SCALONETA,https://cuspide.com/producto/la-scaloneta/,7490.0,20.49,9.73,2023-11-05
ELON MUSK,https://cuspide.com/producto/elon-musk/,18999.0,51.98,9.73,2023-11-05
LOS PELIGROS DE FUMAR EN LA CAMA,https://cuspide.com/producto/los-peligros-de-fumar-en-la-cama/,12000.0,32.83,9.73,2023-11-05
EL GATO Y LA CIUDAD,https://cuspide.com/producto/el-gato-y-la-ciudad/,7990.0,21.86,9.73,2023-11-05
LA FELICIDAD CABE EN UNA TAZA DE CAFE,https://cuspide.com/producto/la-felicidad-cabe-en-una-taza-de-cafe/,12799.0,35.02,9.73,2023-11-05
ROSARIO,https://cuspide.com/producto/rosario/,8999.0,24.62,9.73,2023-11-05
EL CAMINO DEL ARTISTA,https://cuspide.com/producto/el-camino-del-artista/,13899.0,38.03,9.73,2023-11-05
EL HOMBRE ILUMINADO ( NOVELA SECRETA 4 ),https://cuspide.com/producto/el-hombre-iluminado-novela-secreta-4/,19999.0,54.72,9.73,2023-11-05
ANTES DE QUE SE ENFRIE EL CAFE,https://cuspide.com/producto/antes-de-que-se-enfrie-el-cafe/,12799.0,35.02,9.73,2023-11-05
AHORA ALFONSIN,https://cuspide.com/producto/ahora-alfonsin/,13000.0,35.57,9.73,2023-11-05
RESETEA TUS INTESTINOS,https://cuspide.com/producto/resetea-tus-intestinos/,10040.0,27.47,9.73,2023-11-05
"MESSI , CAMPEON DEL MUNDO",https://cuspide.com/producto/messi-campeon-del-mundo/,6490.0,17.76,9.73,2023-11-05
FLORES EN EL BARRO,https://cuspide.com/producto/flores-en-el-barro/,10999.0,30.09,9.73,2023-11-05
TEORIA DE LA GRAVEDAD,https://cuspide.com/producto/teoria-de-la-gravedad/,10400.0,28.45,9.73,2023-11-05
LA BIBLIOTECA DE LOS NUEVOS COMIENZOS,https://cuspide.com/producto/la-biblioteca-de-los-nuevos-comienzos/,9100.0,24.90,9.73,2023-11-05
LAS GARRAS DEL AGUILA,https://cuspide.com/producto/las-garras-del-aguila/,13700.0,37.48,9.73,2023-11-05
AMOR Y OTRAS PALABRAS,https://cuspide.com/producto/amor-y-otras-palabras/,10999.0,30.09,9.73,2023-11-05
NOSOTROS EN LA LUNA,https://cuspide.com/producto/nosotros-en-la-luna/,13900.0,38.03,9.73,2023-11-05
SEMINARIO XIV : LA LOGICA DEL FANTASMA,https://cuspide.com/producto/seminario-xiv-la-logica-del-fantasma/,12000.0,32.83,9.73,2023-11-05
HISTORIAS DE DIVAN  DIEZ RELATOS DE VIDA,https://cuspide.com/producto/historias-de-divan-diez-relatos-de-vida/,8900.0,24.35,9.73,2023-11-05
LA VACA SE EMPACA,https://cuspide.com/producto/la-vaca-se-empaca/,6830.0,18.69,9.73,2023-11-05
QUIZ BOOK - FUTBOL MUNDIAL,https://cuspide.com/producto/quiz-book-futbol-mundial/,4699.0,12.86,9.73,2023-11-05
DONDE ESTA BLUEY ?,https://cuspide.com/producto/donde-esta-bluey/,3699.0,10.12,9.73,2023-11-05
APIA DE ROMA,https://cuspide.com/producto/apia-de-roma/,12900.0,35.29,9.73,2023-11-05
